keyphrase,plan_count,highlight
local policy context,2,
work programme,2,
total scope emissions,2,
building council,2,
collection services,2,
lighting installations,2,
heating scheme,2,
progress climate,2,
transport hierarchy,2,
cardiff capital,2,
management climate,2,
bau scenario,2,
un framework,2,
mammals,2,
formal review,2,
renewable energy measures,2,
recycling rate,2,
part validation,2,
baseline assessment,2,
uk response,2,
average council housing,2,
annual climate change,2,
new build projects,2,
cabinet meeting,2,
food insecurity,2,
indirect scope,2,
deliberations,2,
heating schemes,2,
carbon goal,2,
local plan strategy,2,
sustainable products,2,
performance,2,
hydrogen production,2,
council property,2,
housing improvements,2,
housing,2,
food security,2,
november,2,
environmental objective,2,
features,2,
action network,2,
sustainable development greenhouse,2,
plan april,2,
housing accounts,2,
housing developments,2,
plan figure,2,
figure uk,2,
national government level,2,
stationary sources,2,
resolves,2,
digital connectivity,2,
national action,2,
slough borough council,2,
latest uk climate,2,
review recycling,2,
communicating,2,
tree replacement,2,
transport sector,2,
planet report,2,
conservation act,2,
local communities,2,
council measures,2,
domestic transport total,2,
contact councillor,2,
total cost,2,
cabinet notes,2,
strategy greener,2,
positive changes,2,
baseline carbon footprint,2,
significant challenges,2,
climate justice,2,
average surface temperature,2,
wind power,2,
strategy targets,2,
proactive programmes,2,
other benefits,2,
pressures,2,
areas climate,2,
sustainable lifestyles,2,
government investment,2,
wetter,2,
annual progress report,2,
support residents,2,
objective reduce waste,2,
gardens,2,
social housing provision,2,
future activity,2,
financial return,2,
mobilisation phase,2,
environmental assessment method,2,
baseline levels,2,
calculation,2,
introduce,2,
reduction strategies,2,
sustainable farming,2,
energy waste,2,
national income,2,
adverse weather,2,
substantial tree planting,2,
energy generating,2,
ongoing work,2,
heating oil,2,
other scopes,2,
broader goal,2,
repair reuse,2,
green investment,2,
civic quarter heat,2,
treatment consumption,2,
action planning,2,
carbon saving,2,
local priority,2,
review council,2,
seasons,2,
bill,2,
regional development fund,2,
comparative performance data,2,
carbon sector,2,
cycling plan,2,
city region,2,
councillor travel,2,
scatter emissions,2,
impactful change,2,
essex climate,2,
draft gareth,2,
home working,2,
revise,2,
carbon objectives,2,
active travel routes,2,
farming practices,2,
corporate objectives,2,
participants feedback,2,
equality impact,2,
future actions,2,
change commission,2,
current membership summary,2,
sustainable food,2,
ongoing energy efficiency,2,
action climate,2,
park ity,2,
active travel infrastructure,2,
emission factors,2,
municipal waste management,2,
london,2,
emissions tonnes,2,
countryside climate,2,
incorporation,2,
neutral mean,2,
footprint calculation,2,
different pathways,2,
railways,2,
severe impacts,2,
key measures,2,
seed funding,2,
community initiatives,2,
city recovery,2,
national infrastructure,2,
meet,2,
local path,2,
passive ad,2,
london plan,2,
powered vehicles,2,
agricultural land,2,
effort,2,
housing property,2,
account changes,2,
recycling collection,2,
transitioning,2,
energy water,2,
new buildings,2,
current building regulations,2,
current performance,2,
change council,2,
residents survey,2,
manchester residents,2,
school estate,2,
minimum energy efficiency,2,
strategic functions,2,
developing,2,
car ownership,2,
environmental objectives,2,
schemes,2,
local plans,2,
waste scotland,2,
scrutiny,2,
ongoing engagement,2,
gas boilers,2,
diesel,2,
target responsibility,2,
expenses,2,
sustainability projects,2,
regional response,2,
standards review,2,
tables,2,
annual reduction rate,2,
report terminology,2,
plan bristol,2,
fuel costs,2,
planet future,2,
investment case,2,
economic renewal,2,
livelihoods,2,
grass roots,2,
financial support,2,
global warming potential,2,
enable reduction,2,
sustainability committee,2,
solar gain,2,
sector buildings,2,
building controls,2,
environment actions,2,
leeds city,2,
household recycling,2,
role,2,
specific actions,2,
reporting conversion,2,
sustainability goals,2,
power generation,2,
air conditioning,2,
external use categories,2,
considerable progress,2,
sequester,2,
household emissions,2,
next educate,2,
current carbon footprint,2,
infrastructure development,2,
southern water utility,2,
improvement plan,2,
local plan process,2,
dietary intake,2,
energy requirements,2,
food production,2,
public energy partnership,2,
retrofit works,2,
high risk,2,
cities programme,2,
alternative transport modes,2,
average employment,2,
rural nature,2,
data management,2,
reach degrees,2,
climate local,2,
river flooding,2,
investment portfolio,2,
risk,2,
civic centre improvements,2,
plan recognises,2,
report pools,2,
net gain,2,
annual council carbon,2,
reduction schemes,2,
environmental improvements,2,
adaptation policies,2,
many solutions,2,
increase number,2,
clear framework,2,
hot pool,2,
electricity generation,2,
liverpool city,2,
low carbon projects,2,
population density,2,
emergency planning,2,
efficient housing,2,
local issues,2,
regeneration development,2,
annual governance statement,2,
commitments recommendations,2,
invest,2,
operational carbon reduction,2,
wildlife areas,2,
foundations,2,
ash die,2,
tipping points,2,
budget tool,2,
resource scarcity,2,
sustainable housing,2,
capturing,2,
minute neighbourhoods,2,
green audit,2,
staff induction,2,
specific project elements,2,
energy contract,2,
surrey wildlife,2,
inclusive growth,2,
thematic groups,2,
adaptive capacity,2,
change resources,2,
further analysis,2,
current practices,2,
interim report,2,
transport behaviour,2,
actions energy,2,
ongoing basis,2,
residential heat demand,2,
eco action,2,
carbon goals,2,
research,2,
eco park,2,
programme requirements,2,
extreme weather conditions,2,
joint carbon,2,
member representation,2,
skills development,2,
quality data,2,
motion,2,
inclusive climate assembly,2,
building management,2,
lantern conversions,2,
policy objectives,2,
tidal,2,
significant improvements,2,
coastal flooding,2,
kilo tonnes,2,
fuel consumption,2,
report equality,2,
third party disposal,2,
project planning,2,
planning tools,2,
rainfall,2,
resilience action,2,
air pollutants,2,
assessment process,2,
emissions borough,2,
recycle machinery,2,
other flood mitigation,2,
hectares,2,
heating controls,2,
business engagement,2,
walk cycle,2,
good work,2,
extreme flooding,2,
disadvantaged communities,2,
insulation measures,2,
revolution,2,
procurement activity,2,
local requirements,2,
year,2,
energy certificates,2,
green city charter,2,
decisive action,2,
westminster,2,
accessible charging points,2,
ongoing monitoring,2,
future procurement,2,
transport group,2,
eco port,2,
sites,2,
plan outline,2,
ity level,2,
insufficient data,2,
record levels,2,
innovative,2,
car usage,2,
waste ity,2,
rural areas,2,
importance,2,
generation transport,2,
strategy action,2,
single use plastic,2,
budget setting,2,
separate food waste,2,
heating buildings,2,
local offsetting,2,
action timescale,2,
sustainable development committee,2,
provide guidance,2,
area,2,
community planning,2,
change implications,2,
complete,2,
full council meetings,2,
final report,2,
council figure,2,
public climate action,2,
beautiful countryside,2,
rural communities,2,
reporting methods,2,
local productivity challenges,2,
successful implementation,2,
get,2,
grassroots movements,2,
strategy principles,2,
plan carbon,2,
emissions profile,2,
environmental issues,2,
travel disruption,2,
reading climate,2,
private rental sector,2,
sustainable town,2,
council objectives,2,
councils climate,2,
reduction requirements,2,
data sets,2,
domestic property,2,
seasonal food produce,2,
wider understanding,2,
public transport use,2,
continual review,2,
grid infrastructure,2,
more imagination,2,
amendment council,2,
exempt information,2,
switching,2,
ecological functions,2,
public sector fleet,2,
design guide,2,
decade,2,
more forest fires,2,
carbon timescale,2,
development goal,2,
key council,2,
domestic homes,2,
waste emissions,2,
prioritise walking,2,
decisive decade,2,
march transport,2,
green space management,2,
local ity energy,2,
further reductions,2,
own building stock,2,
condition survey,2,
scatter methodology,2,
single organisation,2,
annual action,2,
target december,2,
vulnerable groups,2,
ecological footprint,2,
climatic change,2,
domestic energy transport,2,
planning permission,2,
housing investment,2,
international paris agreement,2,
third sector organisations,2,
emission levels,2,
future risks,2,
grassland wetland,2,
plan june,2,
forms part,2,
building partnerships,2,
reliant,2,
offsite deployment,2,
behavioural change programme,2,
safeguarding,2,
natural assets,2,
renewable energy guarantees,2,
inefficient homes,2,
global mean sea,2,
global carbon emissions,2,
economic growth report,2,
carbon ensure,2,
multiple stakeholders,2,
main objectives energy,2,
south hams,2,
total carbon,2,
sustainable development goal,2,
costs measures,2,
carbon impact,2,
different sources,2,
coherent framework,2,
consultant revision,2,
low emission strategy,2,
estate,2,
store carbon,2,
kent housing,2,
inward investment,2,
structural changes,2,
plan priority,2,
hos,2,
low carbon capital,2,
environmental sustainability,2,
carbon heat,2,
new development,2,
purchase agreements,2,
speed limits,2,
strategy route,2,
national park ity,2,
support energy,2,
disturbances,2,
footprint emissions,2,
plan implementation,2,
local plan policy,2,
estate energy,2,
change impact,2,
energy supplier,2,
districts,2,
improve infrastructure,2,
renewable energy initiatives,2,
request,2,
water reduction,2,
homes energy,2,
saving potential,2,
years,2,
smart homes programme,2,
draft,2,
significant issue,2,
absorb carbon,2,
average saving,2,
equality analysis,2,
local housing associations,2,
boiler replacement,2,
existential threat,2,
mechanical carbon capture,2,
gas emission,2,
electric bikes,2,
modes,2,
collection service,2,
new council buildings,2,
dynamic document,2,
basic amenities,2,
officer time,2,
emissions savings,2,
key performance indicator,2,
change campaigns,2,
fossil,2,
vehicle replacement,2,
following core areas,2,
smart export guarantee,2,
energy hub,2,
tiny impact,2,
third parties,2,
key commitments,2,
open houses,2,
travel data,2,
public sector organisation,2,
transport developments,2,
water shortages,2,
area figure,2,
city stakeholders,2,
economic sectors,2,
restoration,2,
social value policy,2,
renewable energy technologies,2,
habitat management,2,
barriers,2,
national commitments,2,
residential development,2,
sustainable drainage,2,
minister,2,
parking permit,2,
